 TIME                    	Wind                     	Extraterrestrial         	Globalhorizontal         	globaldiffuse            	globaldirect             	incidentsolarradiation_to	tiltedradiation_direct   	titlted                  	diffuse                  	Ambienttemperature       	Slope                    	SURFACE_AI               	day                      	
 HOURS              	m/s                 	kJ/hr-m2            	kJ/hr-m2            	kJ/hr-m2            	kJ/hr-m2            	kJ/hr-m2            	kJ/hr-m2            	kJ/hr-m2            	øC                  	Degrees             	Degrees             	                    	Degrees             	
  +5.5000000000000000E+01	  +3.5000000000000003E-01	  +3.4722582492535059E+02	  +6.1200000000000003E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +6.1200000000000003E+01	  +0.0000000000000000E+00	  +6.1200000000000003E+01	  +1.7250000000000000E+01	  +0.0000000000000000E+00	  +8.6034207613922035E+01	  +3.0000000000000000E+00	  +3.3333333333333215E-02	
  +5.6000000000000000E+01	  +5.0000000000000000E-01	  +1.2509456650272848E+03	  +4.3919999999999999E+02	  +0.0000000000000000E+00	  +8.3554961157495200E+01	  +4.3919999999999999E+02	  +8.3554961157495200E+01	  +3.5564503884250479E+02	  +1.8300000000000001E+01	  +0.0000000000000000E+00	  +7.5548121484791977E+01	  +3.0000000000000000E+00	  +3.3333333333333215E-02	
  +5.7000000000000000E+01	  +6.5000000000000002E-01	  +2.2818281057250915E+03	  +1.3536000000000001E+03	  +0.0000000000000000E+00	  +7.5518041381933756E+02	  +1.3536000000000001E+03	  +7.5518041381933756E+02	  +5.9841958618066258E+02	  +2.0650000000000002E+01	  +0.0000000000000000E+00	  +6.2932645996620792E+01	  +3.0000000000000000E+00	  +3.3333333333333215E-02	
  +5.8000000000000000E+01	  +8.5000000000000009E-01	  +3.1291718635894781E+03	  +2.2248000000000002E+03	  +0.0000000000000000E+00	  +1.6935856222049767E+03	  +2.2248000000000002E+03	  +1.6935856222049767E+03	  +5.3121437779502344E+02	  +2.3900000000000002E+01	  +0.0000000000000000E+00	  +5.1396573965021851E+01	  +3.0000000000000000E+00	  +3.3333333333333215E-02	
  +5.9000000000000000E+01	  +1.4000000000000001E+00	  +3.7352318618237528E+03	  +2.7575999999999999E+03	  +0.0000000000000000E+00	  +2.2681297711452712E+03	  +2.7575999999999999E+03	  +2.2681297711452712E+03	  +4.8947022885472870E+02	  +2.7050000000000001E+01	  +0.0000000000000000E+00	  +4.1864648226439300E+01	  +3.0000000000000000E+00	  +3.3333333333333215E-02	
  +6.0000000000000000E+01	  +1.9000000000000001E+00	  +4.0587061131097562E+03	  +3.0924000000000001E+03	  +0.0000000000000000E+00	  +2.5285784195841934E+03	  +3.0924000000000001E+03	  +2.5285784195841934E+03	  +5.6382158041580669E+02	  +2.9700000000000003E+01	  +0.0000000000000000E+00	  +3.5982461242029878E+01	  +3.0000000000000000E+00	  +3.3333333333333215E-02	
  +6.1000000000000000E+01	  +2.2500000000000000E+00	  +4.0775503817888230E+03	  +3.3300000000000000E+03	  +0.0000000000000000E+00	  +2.8241981562084861E+03	  +3.3300000000000000E+03	  +2.8241981562084861E+03	  +5.0580184379151387E+02	  +3.1900000000000002E+01	  +0.0000000000000000E+00	  +3.5614556911093530E+01	  +3.0000000000000000E+00	  +3.3333333333333215E-02	
  +6.2000000000000000E+01	  +2.4000000000000004E+00	  +3.7904804620920977E+03	  +3.0635999999999999E+03	  +0.0000000000000000E+00	  +2.7587363624412142E+03	  +3.0635999999999999E+03	  +2.7587363624412142E+03	  +3.0486363755878574E+02	  +3.3550000000000004E+01	  +0.0000000000000000E+00	  +4.0910334448088832E+01	  +3.0000000000000000E+00	  +3.3333333333333215E-02	
  +6.3000000000000000E+01	  +2.0500000000000003E+00	  +3.2170596946414416E+03	  +2.5272000000000003E+03	  +0.0000000000000000E+00	  +2.2768686690588252E+03	  +2.5272000000000003E+03	  +2.2768686690588252E+03	  +2.5033133094117511E+02	  +3.4399999999999999E+01	  +0.0000000000000000E+00	  +5.0100440651390066E+01	  +3.0000000000000000E+00	  +3.3333333333333215E-02	
  +6.4000000000000000E+01	  +2.0500000000000003E+00	  +2.3963657571159924E+03	  +1.7676000000000001E+03	  +0.0000000000000000E+00	  +1.5070005309691614E+03	  +1.7676000000000001E+03	  +1.5070005309691614E+03	  +2.6059946903083869E+02	  +3.4399999999999999E+01	  +0.0000000000000000E+00	  +6.1453832530712539E+01	  +3.0000000000000000E+00	  +3.3333333333333215E-02	
  +6.5000000000000000E+01	  +2.9000000000000004E+00	  +1.3843275850972479E+03	  +8.5680000000000007E+02	  +0.0000000000000000E+00	  +6.3724805447894562E+02	  +8.5680000000000007E+02	  +6.3724805447894562E+02	  +2.1955194552105445E+02	  +3.3450000000000003E+01	  +0.0000000000000000E+00	  +7.3969330165635839E+01	  +3.0000000000000000E+00	  +3.3333333333333215E-02	
